partners,matched_owners,owners_confidence,cik_no_partners,form_d_partners_id,crd_no_owners,form_adv_owners_id
Daryl Smith,Smith Cheryl Irene,0.860192823352498,1571342,1237,110901,8656
J Cowan,Cole J Daniel,0.9780586221065353,1398972,1324,162837,1320
James Cox,Cox James Thomas,0.8195112777605014,1624326,298,310647,53954
Matthew Levatich,Matthew Li,0.8019433782608133,32604,687,130263,14094
Neil Stiles,Steiner Neil Alan,0.9197590618553132,1511735,663,104951,10974
Thomas Abood,Abboud Thomas Michael,0.9129161545190765,728447,677,290242,44904
Daniel Campbell,Campbell Daniel Emmett,0.6730695300668615,1513965,306,157601,8563
Stephen Jarvis,Marvin Stephen D,0.6468310844116446,1076522,237,105399,5007
Steven Rubin,Rubin Steven,0.3242094915093551,1460329,356,290641,29130
Hodges Michael,Hodges Michael,0.0,1422109,790,161720,13903
Brady Granier,Brady Daniel,0.6672585570207336,1443863,581,112994,23296
Robin Hensley,Robinson Adam Worsley,0.9011661021705663,95574,709,170968,12035
Glenn Sanford,Braun Sanford,0.7842095338706874,1495932,429,2002,3249
Shlomi Palas,Galili Shlomit,0.8439798049576814,1419582,347,297392,46813
Linburgh Martin,Rosenburgh Martin Joseph,0.7873257043847677,1552909,1176,305978,51788
Sally Savoia,Savoie Peter William,0.932007268185573,1283950,1247,154814,191
Bluemountain Global Volatility Gp,Blue Lion Global Gp,0.870570528349971,1547894,1164,321168,59706
Carl Dilley,Dillon Carley M,0.6967325102428956,1392902,210,108601,6838
Jason Ment,Ment Jason Paul,0.7520588262157214,1502287,1103,281695,15122
F Ostronic,Enders Ostrom,0.9612251915332243,922247,514,305631,50850
Adrian Giuhat,,1.0,921313,708,316652,57985
Craig Columbus,Columbus Craig Edward,0.5385237651858827,1362190,406,286374,17430
David Swensen,Sweeney David James,0.8187346426000202,315038,133,158802,15038
Seth Lawry,Winer Lawrence Seth,0.8033760316868908,1090508,1205,167395,43362
Yehuda Shmidman,Doron Yehuda,0.9354989467113857,791770,448,309322,52629
Charles Maxwell,Maxwell Charles Joseph,0.5740625874782794,1537435,365,110276,2822
Ward Leber,Hebert Richard Lee,0.8641275802815624,1383154,265,106120,28510
Steven Kubby,Hubbell Steven John,0.9310873268772579,1360442,481,172937,2479
Rodney Tiede,Wade Rodney Dale,0.882624931462364,740726,696,108627,42562
Gregory Palm,Palm Gregory Kenneth,0.7155176260762612,886982,100,361,5463
Daniel Chinn,Daniel D,0.8269511348141368,1366340,639,306381,52196
Henry Ji Phd,,0.9999999999999999,850261,518,316652,57985
Frank Saeli,Saeli Frank Joseph,0.754197906027593,1465214,659,106435,7188
Richard Surber,Barber Richard,0.7855490963094681,1487997,498,155412,16234
Management Services Investors Title,Asian Investment Management Services,0.7500511351131014,1331084,795,293601,29718
Empyrean Associates,Empyrean Capital,0.8423543926966265,1300825,1255,138978,10854
Burton Weinstein,Weinstein Burton,0.3263393868244942,1321252,1266,136253,12435
George Papa,Papa George Orson,0.7524694155465841,1632849,437,171992,7438
Guy Marsala,Assad Guy Jean Marie,0.9038169469091574,1547996,502,290384,29153
Donald Fell,Miele Donald Ferdinando,0.7773106727463899,1382574,263,173529,43424
Melvyn Estrin,Deane Melvyn Ernest,0.8808677744517937,104819,811,169772,4541
John Rochon,Rochon John Francis,0.7787523808033419,1403085,345,284526,15340
William Orchow,Jameson William Orsen,0.8460090321480648,59860,690,114381,5494
Michael Anderson,Anderson Michael E,0.43742015712669474,1006820,309,314038,56286
Darren Lopez,Lopez Dan,0.7467171927793838,1557796,370,316660,59638
Nicholas Schorsch,Rausch Nicholas J,0.7787700822201032,1568832,592,168687,7811
Douglas Toth,Douglas Don,0.7355822080566756,1359504,763,308938,52929
Mark Emkjer,,1.0,1087934,615,316652,57985
Justin Xiang,Han Xiang,0.7172103823290512,1445789,807,313259,56100
John Michak Iii,Tincoff Iii John Michael,0.8531586056700508,1491525,358,312023,57468
Brett Marks,Parrett Mark,0.793276117129372,1510326,539,300602,49581
Joseph Leone,Kagan Joseph Leon,0.676013733527228,1054274,610,319364,59180
William Lopshire,Lipsey William Louis,0.9209671633583941,846377,161,106847,8193
Sheelpa Brown,Brown Sherri M,0.9248110710337095,1508782,535,168734,9043
Victor Dvorkin,Dvorkin Michael Mark,0.8247228250480745,1352010,711,128060,19787
H Lockhart,Lockhart James S,0.8515930529284087,1179090,750,281104,1347
William Callan,Callahan William Alan,0.6371568411371585,1465214,659,153050,17849
Bryan Mclaren,Mclaughlin Kevin Bryan,0.9077264789404553,1279620,477,151873,53727
Kurt Garbe,Garber Robert,0.9372208799290505,1395791,1321,287776,17231
Ross Sakamoto,Sakamoto Kevin Takeshi,0.9279223490233524,1030815,146,29280,1793
Harriet Robinson,Robinson Janet Marie,0.7011904054876265,832489,517,287856,17160
Jason Krikorian,Krikorian Jason G,0.4052843892385153,1544035,1161,160285,10151
Hugh Ross,Ross Hugh Michael,0.706691476821827,1423791,1348,314868,56770
Mark Mckee,Mckee Mark Edward,0.6926496714042251,1300117,1252,106759,1048
Anna Biolik,Golik Anna,0.9137222633377613,1398972,1324,314361,58703
James Greco,Greco James Peter,0.7274964119315945,1134765,243,291766,47479
Terrence Dunne,Yodaiken Terrence Duncan,0.8118100854518366,1375618,720,171592,2050
Jeffrey Cole,Hole Jeffrey D,0.6139971279842639,1509222,1110,106693,11429
Richard Selden,Seewald Richard Michael,0.7824295885833039,1689723,808,319748,59587
John Romiza,Romiza John Steven,0.6901149029667096,1517333,1138,107472,218
Quest Management,Quest Management Holdings,0.6182768400358919,1381810,1311,304619,52358
Todd Speyer,Meyer Todd Warren,0.8953205029946562,1568385,375,175073,43127
Stanley Weiner,Finer Stanley S,0.8224237177821853,1357838,569,147747,40049
Marcus Sylvester,Marbey Sylvester,0.7627672195976326,728385,441,37550,7421
Frank Garcia,Garcia Frank Paul,0.6626666910865804,1414043,576,163354,2467
Ian Wolfman,Wolfe Dan L,0.9939440037142788,1399587,211,124105,41688
Martin Smiley,Small Martin,0.8948085658556945,825322,699,111616,11690
Geosphere Capital Managment,Alliance Capital Managment,0.781684718374348,1415618,1341,308135,53720
Edith Cooper,Fisher Meredith Cope,0.8814069708162868,886982,100,286361,15689
Arthur Jr Montoya,Minton Arthur Jerry,0.93082917458425,99771,684,107578,6196
Mary Beams,Ramsay Mary Beth,0.7712464297100134,315038,133,104626,11782
Kimberly Sharan,Harlan Kimberly H,0.735681965875848,315038,135,319452,60037
David Goldstein,Goldstein Jon David,0.5790593742710091,1030815,146,323125,61191
Howard Liszt,Lis Krzysztof,0.9659085246124351,1356093,203,306860,52170
Bernard Cahill,Bernard Edward Cage,0.8943849276278837,1355848,259,126032,11891
Michael Solomon,Solomon Michael Dean,0.5712717798437765,1462223,426,291361,47771
Paul Luongo,Luong Phuong,0.8644063320167567,1517413,1139,288938,44895
Alan Schroering,Schroeder Aaron,0.9536770205276732,4187,688,127323,33633
Thomas Zelibor,Zelman Zev,0.9469029217309735,1325964,568,314586,58436
N A Acadian Asset Management,Acadian Asset Management,0.5555920888268103,1442329,805,322795,60989
Outer Islands Capital Gp,Island Capital Group,0.8794574823742051,1228429,1233,308097,53352
Steven Berrard,Berr Steven,0.6701958828156401,1596961,295,127205,39447
Daniel Rubano,Dubay Daniel Mark,0.9055788690287488,1475273,673,112758,9112
F Townsen,Townsend,0.7203346418869025,727672,676,286009,44109
Qingqing Wu,Yi Qingqing,0.7026754501397046,1388311,1212,166112,9152
Michael Griffin,Griffin Michael,0.40977428461679916,1383960,411,162139,936
Edward Hundert,Ray Edward Hunt,0.7293079314167542,315038,135,231788,39774
Morgan Fields,Morgan Daniel,0.8455736642191227,1509261,360,161890,13264
Stewart Wallach,Beach Stewart Allen,0.8809941146303355,814926,449,157447,3141
Michael Peterson,Peters Michael Jason,0.552807475352817,1141197,697,104663,7846
Volkan Ozguz,,1.0,357108,547,316652,57985
Robert Rositano,Rossi Robert J,0.6734998921325751,1414043,576,282055,39218
Paul Mucci,Mucci Jeffrey Paul,0.8017560604830763,315066,118,133682,5387
Jon Isaac,Kim Isaac,0.6609975438133426,1045742,743,170233,4598
Robert Amaral,Amato Robert Anthony,0.8566428786041614,1528760,433,156482,7113
Marcel Herbst,Tass Karen Herbst,0.915626487274184,1428544,1354,108017,10299
Alfred Kingsley,Lang Alfred Karl,0.9209611384348345,1572552,594,282729,7528
Amelia Weir,Weir Amelia Farley,0.7328397665333983,1189480,1222,136481,5430
James Gale,Gale James Charles,0.7285727745463277,352998,540,163067,12223
Robert Holcomb,Hooker & Holcombe,0.857053353017231,1362703,445,125791,2152
Gp American Midstream,Arp Americas Gp,0.9252027539419885,1513965,306,171663,7800
Bijan Salehizadeh,Salehizadeh Bijan,0.30535271815712556,1293818,754,169508,6025
Ronald Lennox,Conn Robert Lennox,0.7894870892166983,1293818,754,293310,51552
Matthew Begley,Begley Matthew Griffin,0.7397099830728885,1409517,1335,156400,10631
Anthony Schnur,Schnuerer Richard Anthony,0.8086076113775853,1309082,509,312567,55788
Charlene Petrelli,Kelly Peter Charles,0.8868714479227571,33213,829,108236,25
Andrew Elder,Elder Andrew Stephen,0.7149411622005953,1303308,1261,170675,11981
Steve Le Page,Le Page Stephen J,0.7715818375656482,1303308,1261,281791,5507
Jason Adams,Adamson James G,0.6477102135738076,931059,383,285067,32523
Rory Cutaia,,1.0,1566610,371,316652,57985
Brian Murdock,Murdock Brian Andrew,0.6792622362002988,1427934,1350,104862,13621
David Jumpa,Jud David,0.8981344984426859,1131633,1215,323809,61350
Crestline Associates Lp,Ta Associates Lp,0.7326647584747572,1359780,1295,156699,11143
Justin Kelly,Kelly Justin Holly,0.6203520818651764,900973,447,106940,3500
O Halvorsen,Halvorsen Michael Alan,0.932264373183003,1413378,1337,105727,10128
Zvi Rhine,Brener Zvi Nmn,0.9854971791341794,727346,153,224520,14536
Odysseus Lanier,Odysseus Management,0.7285809963554541,1626899,381,146975,4031
Jason Kates,Jones Kate,0.8098417238367478,1455206,531,172045,9621
Trevor Wiessmann,Wiessmann Trevor S,0.4053899438386732,1525209,1150,108262,11874
Thomas Lapinski,Larkins Thomas F,0.7863553882111731,1431959,578,311326,56291
Artur Bergman,Bergmann Ari,0.7347522683997338,1517413,1139,158297,14744
Ian Mcneil,Mcneil Iain Russell,0.7754623957378468,1084226,786,304303,50265
Pat Obara,Faiella Barbara Obrien,0.9846446683279929,1334933,341,153098,402
Sandra Mackay,Guitar Sandra Mackay,0.656241853653606,1162324,625,156612,5774
Matthew Chambers,Chambers Matthew Scott,0.6010247514988296,1346346,762,109552,10077
Daniel Masters,Masters Daniel Morris,0.6681962576192972,1543272,668,283081,12897
John Catsimatidis,,1.0,1272550,631,316652,57985
John Bickel,Bickerton Steven John,0.8077965600992336,1403085,345,166523,14727
John Gainer,Vine John Garth,0.7920465388316119,1053691,311,1588,3191
Stanley Sluder,Harley Stanley,0.9148048653640474,99771,684,137680,39925
Sayan Navaratnam,Navaratna Mohan,0.8538006016110252,927472,728,311148,54873
Perry Odak,Berry Odell,0.7748484738350949,315066,118,168135,35425
Enon Winkler,Winkler Scott Mason,0.9942902241797833,1769109,1124,142412,40371
Michael Casey,Casey Michael Patrick,0.7268614589401662,1090908,618,306477,51872
Robert Segert,Roberts Robert G,0.8164442882423698,1352010,711,316731,58031
Kenneth Pearsen,Petersen Kenneth Burton,0.7905679826522364,1054274,610,114572,1333
Robert Knutson,Heje Knut Knutson,0.6949661425908751,1337213,787,324588,61951
Michael Nahass,Rabe Michael Nathan,0.8325794115920819,1451512,495,316029,57391
Michael Krawitz,Krawitz Michael,0.4910725198376823,924642,606,119721,12331
Timothea Welsh,Walsh Timothy,0.8723733844973991,1460290,819,107758,4527
Randall Smith,Smith Randall,0.49555792284766376,1447380,657,311362,55610
Terry Anderton,Anderson Terry Dee,0.7759260264672252,802257,678,149757,38995
Alex Stuckey,Stevenson Alex Mckinley,0.9921440192047773,40570,446,306763,52724
Scott Dakers,Lake David Scott,0.7707589220215096,1409517,1335,319056,59456
Stephan Parico,Patten Stephan,0.8264706073794457,1626899,381,110345,6462
Joseph Oneill,Oneill Timothy Joseph,0.8452874385871822,1357838,569,142834,13925
Larry Solomon,Lao Solomon C,0.7662460541911228,1352010,711,158696,42190
Raymond Brown Ii,Brown Eric Raymond,0.7663913685329801,1274001,725,141823,1281
Richard Phillips Md,Phillips Richard J,0.6493901527438389,1401667,765,138189,7403
Two Sigma Principals,Two Sigma Management,0.8500420231611787,1334130,1270,295416,47488
Jacob Taylor,Taylor Jacob Leroy,0.6174101899060328,727346,153,155372,33468
Alan Levin,Levine Alanna,0.7255915980375611,1053691,311,315921,57269
Paul Difrancesco,Difrancesco Carl Nicholas,0.8461504231838767,1357838,569,157623,5029
Michael Bynum,Bynum Allen Michael,0.6134932941576647,1447380,657,117600,17579
Jonathan Michaels,Breen Jonathan Michael,0.6389360586475566,1528098,667,164110,6349
Eric Henderson,Anderson Eric Herbert,0.6506240435719037,1135856,738,307382,52168
Michael Doorley,Dooley Michael,0.6697931885511125,315066,120,317528,58250
Michael Queen,Doll Quentin Michael,0.6326089119005988,1308569,479,2881,9871
Lakeville Associates,Lee Associates,0.7948597713686987,1211481,1223,161696,16152
Daniel Forbush,Dent Daniel Forbes,0.8225038889918536,1060910,1297,105179,2309
Douglas Smorag,Smorag Douglas John,0.5557310088454263,1321086,1265,119467,1465
Hans Hertell,Henselman Hans Dieter,0.8360523125022932,1286181,400,299177,48966
Kevin Mcgrath,Mcgrath Mark G,0.790890392254163,1094058,744,161280,11089
Scott Swain,Swanson Scott Miller,0.7529510830707904,1053423,1181,317386,58537
Abdullah Marafi,Al Raee Hisham Abdulrahman Abdulla,0.8280668129248542,1586962,1112,169714,3909
Nathaniel Bradley,Sandler Nathan Bradley,0.6808313693156701,1507605,661,144896,6762
Chris Carlson,Carlson Christopher M,0.6927596757733551,890447,603,119569,17330
Randall Pearson,Perarson Steve Randall,0.8139141257069213,1171838,627,165927,38982
Jeffrey Tate,May Jeffrey A,0.7734595705017691,922247,604,170858,16877
David Loppert,Hoppen David,0.7287597556678934,1455206,531,129246,27377
Alexa King,Kurth Alexandra Kiley,0.8373899130181022,1370880,799,290977,29283
Marvin Adams,Marvin Kim Adams,0.5859062201232453,315038,132,156878,7234
Joshua Bixby,Green Robert Bixby,0.8136262165124297,1517413,1139,133029,40108
Sean Trepeta,,0.9999999999999999,1084267,614,316652,57985
Warren Buffett,Jarrett Calvin Buford,0.9409141012126162,79958,683,42057,2202
Steven Carter,Carter Mark Steven,0.6754392547482099,1425808,772,148074,32148
John Beach,Benear John B,0.7080586104825638,931059,164,160555,8375
N A Cyrus Capital Advisors,Us Capital Advisors,0.829046000810838,1561099,1200,137045,586
Constance Weaver,Constance Capital,0.9254584257256813,315038,135,282267,7361
James Milam,Miley James P,0.7961295117457223,1414496,802,306877,54817
Jeffrey Keswin,Keswin Jeffrey Alan,0.49131333408226907,1384978,1315,318148,59018
Karen Roydon,Roydon Karen Natalie,0.7249488193139576,1303308,1261,130949,7754
Michael Recca,Michael Rebecca,0.4442176597717388,1009891,216,289930,45236
Sei Investment Strategies,Galven Investment Strategies,0.5833104114555236,1504960,1105,304843,53449
Steven Warner,Wacaster Steven Warren,0.7822895552290657,1101026,747,295903,46211
Eric Burl,Burl Eric Nmn,0.7348672718489171,1398505,1323,131684,11735
Jamy Owens,Owens James,0.7699846648394999,1375554,640,127130,59671
Terry Nesbitt,Nesbitt Stephen B,0.9185901422914134,1337213,787,132167,5186
N A Hall Capital Partners,Canal Capital Partners,0.7144532944608104,1387845,1320,143478,7974
Lisa Hamilton,Harris William Hamilton,0.8381491473270485,1410012,483,155172,13721
Joseph Paresi,Rossi Paul Joseph,0.8160978168535653,1425287,526,289257,28976
James Barnes,Barnett James,0.704959871296769,1493761,691,162676,14955
William Brehmer,Hehman William Eric,0.8289567146786713,1475899,585,105441,2375
Julia Corelli,Connell Julia Marie,0.8221144369336949,1401750,1327,121275,15980
Lan Tran,Lan Travis,0.6510002833514501,1420031,348,105387,37444
Timothy Howe,Bowen Timothy John,0.712316029371238,1293818,478,153964,42433
Alex Rogers,Rogers Alex Arthur,0.7276445535898602,1366340,639,109846,5660
Judith Macdonald,Macdonald Judith R,0.3501395175712638,1030815,145,110687,4873
Churchill Franklin,Churchill Finance,0.8405186276890821,1442329,805,305060,51373
Peter Kenefick,Pefin,0.8698472046954027,357108,547,226618,8625
Douglas Brown,Brown Douglas James,0.5549664021951446,12239,629,131097,5326
Kevin Cameron,Carter Kevin James,0.8215047879782182,1301206,633,111208,579
Yukari Nakano,Kawakami Yutaka,0.891790379301404,1439166,773,296868,47583
Serge Monros,Berger Serge,0.9695033339639992,1096637,620,305906,51979
Ben Hoehn,Conway Shawn Hoehne,0.9795537533484796,1533427,590,286038,15687
Brandon Becker,Becker Brad John,0.8376463805962887,315038,133,113783,39064
David Batchelor,Batchelder David Harry,0.8140643772151346,1503985,276,163536,2816
Andrey Novikov,Lovik Nathan Andrew,0.9151265755224816,1591913,292,306384,52378
Joe Barnes,Carr John Barnes,0.8792830871909918,1161582,331,201512,32741
Steven Berger,Berger Steven John,0.6411605859430632,1054274,610,167551,12938
Donald Miller,Miller Donald P,0.5088934557829148,1503985,276,113780,23507
Charles Pearlman,Perlin Brian Charles,0.8691764261778867,1271075,752,284779,32455
Jose Mas,Masella Joseph,0.8553166388986898,15615,815,141661,286
Brent Willis,Bryant William,0.7868406332973868,1398702,645,109139,1203
Tommy Thompson,Thompson Tommy,0.21011333272975594,1377149,398,171201,12298
George Smith,Smith George Daniel,0.6433203289367392,1526730,1152,105950,6704
John Carson,Johnson Carin,0.6291991356737363,357108,547,167247,37944
Richard Dawson,Lawson Derek Richard,0.758092033132728,95574,709,165806,36450
John Lindsay,Kahn Jordan Lindsay,0.7254040110534681,46765,681,174260,6672
Roy Jageman,,1.0,1156041,245,316652,57985
George Jameson,Waters George James,0.700477067206441,1179090,750,127216,9994
William Raike Iii,Raike William Jasper Iii,0.6142557203636013,1095373,221,38095,4723
Jeffrey Mcdonnell,Macdonnell Jeffrey Hugh,0.7042625223220783,1466026,810,108803,4187
Jamie Raboy,Raboy James Benjamin,0.8485932918378677,1300642,1253,124613,9025
Harvest Advisors,Hivest Advisors,0.7071835753407185,1225355,1232,286199,44190
Dimitrios Goulielmos,Eliopoulos Dimitri Peter,0.9283187112063578,1474167,584,281133,11367
Edward Monser,Edward Jones,0.8145495483777172,32604,687,105139,6547
Jonathan Head Phd,Phd Management,0.9555911185185313,1362703,445,170887,37657
Joseph Turner,Turnes Joseph Luis,0.6956430742103529,944130,304,114052,1377
Ted Schreck,Schreck Karey,0.8999839767564705,1083446,192,163936,14865
Joseph Provenzano,Provenzano Carrie,0.7945630942811267,880242,705,297031,48769
Laura Quatela,Fatuga Quam,0.9084769746835534,31235,439,305038,52063
Alan Auerbach,Auerbach Michael,0.7424250739156769,1401667,765,316490,57610
Ashley Le Feuvre,Couvreur Daniel M,0.9893660405822972,1472885,816,307195,51999
Robert Mcallister,Mcallister Michael Robert,0.6308411671233402,1346022,258,291401,46540
Pedro Ortega Dardet,Ortega Daniel,0.8780844553844444,1094058,744,115927,5519
Ta Hui Wang,Li Hui Hugh,0.9044180600282945,1556066,1188,309203,53591
Ken Vande Vrede,De Vries Mark,0.9981809661485312,1451512,495,110997,2327
Michael Bahn,Maher Michael John,0.7972007700607123,20199,438,170907,33592
Ahmad Al Sati,Ali Ahmad,0.7002404650336516,1135657,195,161360,917
Jacques Soenens,Soenens Jacques A,0.32505141463039655,1423704,1347,133184,22169
Michael Zientek,Weiss Michael Zion,0.8560127095156935,728447,677,157475,7235
Whit Cluff,,1.0,1416090,485,316652,57985
Paul Hodges,Hodge Paul Gordon,0.7730802593044036,1611277,297,166767,37979
George Hansen,George Harry A,0.727587740651148,1383457,800,160609,31436
John Levy,Levy John Robert,0.6836232581578516,8328,794,171911,42459
Thane Wettig,,1.0,1086688,1204,316652,57985
Anthony Coelho,Coelho Mary Angel,0.8251492630503424,1362190,204,128639,31534
Andrew Mckenna,Mckenny Ian Andrew,0.8141402749008698,1566035,1208,265,10110
Marc Gary,Gagni Marc G,0.8292516862604193,315066,120,169527,38083
Fred Hofheinz,,1.0,1309082,509,316652,57985
Christoph Trina,Parish Christopher,0.743516520130395,1062720,172,132780,2363
David Markowski,Markowski Matthew,0.7405816982133011,1550020,366,156345,26943
Jose De La Torre,De Lazaro Torres,0.8734017482878463,1118847,718,143883,13544
John Galt,Walton John Gary,0.6439389429869716,1272550,631,170022,15506
Kurt Graves,Graeber Kurt F,0.9194447763834707,1086688,1204,315045,56851
Ping Gao,Gao Ping,0.6221798418275466,1173784,187,302004,49851
Michelle Wilson Clarke,Wilson Michelle,0.7361745908686855,1430741,1357,313302,57921
Brad Kruchten,,1.0,31235,439,316652,57985
Lee Maddox,Maddox Jason William,0.9435086685410682,1357838,569,174078,1509
Jim Collord,Thorn Jim M,0.9599091575430563,711034,440,43242,18854
Leo Womack,Womack Leo Barton,0.70359415074733,1085254,463,315322,57231
Eric Hagen,Hage Eric Charles,0.7790252656099378,1531433,589,139342,1230
Qi,Qiu Qi,0.5780015259710987,1380528,1133,290775,29374
David Smith,Smith David H,0.5298079146420719,1136174,554,138156,264
Howard Doss,Ross Howard David,0.7630707158466826,1382574,263,157628,9865
Scott Koller,Kollender Richard Scott,0.834862442608024,1356093,203,160269,92
Adrienne Hart,Hart Adrienne Yost,0.7665655769510662,1626899,381,316324,57395
Thomas Hammond,Hammond Mark Thomas,0.6562765280313684,52988,777,165341,6958
Catherine Vlasto,Vlasto Catherine Jane,0.5571423175234593,1303308,1261,130949,7754
Glynn Wilson,Edgerton Marilyn Wilson,0.849162545324704,1094038,1123,132106,51217
Kathryn Cole,Collins Mary Kathryn,0.7552347764549309,946486,651,131854,10228
Maureen Cowell,Cowen,0.8340610489616026,314712,722,304684,50627
Kevin Mcelwee,Mcelwee Daniel Henry,0.9135666830254844,1205059,779,152301,3330
Frank Mancuso,Engelen Franciscus Frank Antonius,0.8983209241060779,1446159,494,299567,48615
Joseph Kopilak,Kopilak Joseph Marc,0.5743967996033162,1404405,1202,162247,12066
Richard Dicks,Dirickson Richard Edward,0.7228164282113979,1128353,622,106257,7480
John Warnock,Crocker John Vernon,0.9167977145708001,1084332,321,298284,49529
R Salemme,Michael R Salem,0.7988982281497946,1442505,792,137563,9433
Roger Stoll,Rosen Roger S,0.8522751685089198,872912,162,170343,16620
Windcrest Discovery Investments,Goldcrest Investments Lp,0.7490109912192191,1222433,1231,143771,11087
N A Nuveen Fund Advisors,Nuveen Fund Advisors,0.5293999900281496,1521019,122,155584,11705
Sagar Louis,Magana Kim Louis,0.8339135483022383,862651,600,132645,42942
Mark Scott,Potter Mark Scott,0.5766669085959205,1421601,770,17140,11750
Frank Steeves,Linneen Frank Steven,0.6781053560723046,32604,687,138077,11935
Peter Hebert,Hebert Peter James,0.6554128107661933,1544035,1161,163026,3881
Katharine Armstrong,Armstrong Kara S,0.7372515130307407,1334933,403,132517,8863
Brett Taylor,Bennett Taylor James,0.7626046136133875,1657788,301,290178,45809
David Blood,Blood David Wayland,0.7269740908047801,1339131,1276,164371,12804
Nowell Chernick,Chernick Nowell Scott,0.6590956000747415,1571342,1237,166116,2570
David Jin,Jin,0.8463236645556059,1630212,299,285361,15540
Judith Corprew,Warren Judith B,0.9467414433899277,1098146,241,116655,31624
Erik Morgan,Morgan Erik Otha,0.7262207954282334,1470876,113,322692,60814
Stephen Rasmussen,Rasmussen Rachel Ann,0.7338306302545269,1135856,738,106905,6315
James Burchetta,Burnett James M,0.8273286760804953,1106645,1309,128217,40165
Etai Beck,Becker Etienne,0.8975683490256066,1594569,1140,172298,4452
John Macaluso,Macaluso Sam Dean,0.9031933995410725,1162896,748,284046,37368
Richard Mander,Mandel Richard,0.6108771605411288,1074828,712,110816,10526
Martin Fritz,Fritzinger Jonathan Martin,0.8516398267734437,33213,829,323014,61558
Andrew Koopman,Koopmans James O,0.9275459298533146,1574186,287,127737,31309
Duane Hughes,Hughes Ann,0.9009833622993138,1425287,252,291068,29364
Edward Johnson Iv,Cole Edward Johnson,0.7294019497264944,315066,125,323312,61767
Alan Shuler,Shulman Alissa,0.9309590902725776,1446159,1301,154287,2934
Andrew Tang,Tang Andrew Y,0.621419422666437,1301206,633,281749,34025
R Don Elsey,Els,0.9930463470527385,707511,672,151619,34102
Yundong Lu,Yung Yuen Lun,0.696239173407076,1117057,1211,290267,45882
Ravenswood Management Company,Edgewood Management Company I,0.7044989592351918,1400521,1325,106647,9891
Marc Savas,Samit Marc Evan,0.8757819113152244,1538217,283,138032,11169
Gregory Jung,Jury Gregory A,0.6600444691518562,1533427,590,156292,31327
Hector Delgado,Delgado Heather,0.842114746711419,1058307,312,113931,9563
Alexander Ruckdashchel,,1.0,863895,601,316652,57985
Daniel Goldsmith,Goldsmith Brian,0.7435859746086732,1355754,1292,315296,56642
Ricardo Koenigsberger,Koenigsberg John A,0.8125936792672701,1446159,656,115927,5519
Peter Traber,Raber Peter William,0.8947350662861567,1133416,327,105741,12990
Donald Cohen,Donald Colin,0.6869748909977124,1118847,718,163758,828
Julian Beale,Bealle Brian J,0.8555272957094866,1559998,1195,161641,7707
Muralikrishna Gadiyaram,Kuriyan Vikram John,0.9216219475177982,1040792,224,168016,876
James Mcclinton,Mcclintock David James,0.7512385975021658,814926,449,10091,16872
Winston Marshall,Marshall Marsh S,0.8391157199203954,1098881,621,298876,49241
Steven Prelack,Stack Steven Michael,0.8965936969491577,1133416,327,104842,6468
Leonard Sokolow,Sokolow Leonard Jay,0.5197544418839153,1598981,378,318053,58809
Michael Clark,Parke Michael Clare,0.5574247638183477,1002280,820,113407,18399
Michael Kasper,Kasper Michael Alexander,0.7427431687562239,1398505,1323,284066,7155
Michael Trepeta,Hope Trevor Michael,0.8914704398363961,1084267,614,289753,28930
Vincent Capponi,Zappone Franco Vincent,0.8301931401489641,1175151,188,139366,12478
John Venners,Veech John V,0.8616390829431053,1439397,213,142824,8095
Theresa Carlise,Reese Catherine Theresa,0.9043164562182275,1058307,312,269919,17307
Patricia Mallon,Mallon Patricia Anne,0.5814130954811134,1002280,820,120107,592
J Craft,Crafton Harold,0.8972728328041767,1308027,635,104924,10084
Molly Aulino,Aulino Mary H,0.8923055442959675,1238497,1234,133297,9120
Richard Pilnik,Rolnick Richard Adam,0.9087525730301729,1425919,351,174961,12605
Robert Mizell,Mizelle Chad Robert,0.695494000916173,1526730,1152,315482,57347
Kevin Harrington,Carrington Kevin Troy,0.7107541902402257,1341766,257,305152,50595
Leon Rhule,Rhule Leon Dwayne,0.7791834910257871,1375510,1307,292773,29525
William Collins,Green William Collins,0.5217192089441953,1611277,599,288498,45860
Mel Carvill,Carvill Mel Gerard,0.6599587415321986,1303308,1261,130949,7754
Janaka Maduraperuma,Maduraperuma Janaka Sheehan,0.555065953947795,1340766,1280,161278,8637
Rolv Heggenhougen,Buggenhout Dirk,0.979742196674304,1509957,537,107183,4389
Punit Dhillon,Dhillon Sandeep,0.9373156944558962,1444307,806,168538,14169
Grover Wickersham,Wicker William,0.9295892322397802,1534708,282,302101,50123
Michael Brand,Rice Michael Brandon,0.6589821520426834,1009891,216,299551,48455
Larry Ellingson,Jennings Larry Elias,0.7454558759416237,1425919,351,300629,49231
Bruce Bedrick,Bruce Brian,0.7896206433143662,1547996,502,145078,11590
Andrew Burr,Burge Andrew C,0.6987307726769069,1002280,820,108559,6742
Josh Touber,,1.0,1160142,470,316652,57985
Robert Robotti,Robotti Robert Edward,0.5857341355317649,1400521,1325,128093,5704
Marvin Rosenthale,Rosenthal Martin David,0.8503048001616356,946486,305,153074,34043
Andrew Boll,Collins Andrew C,0.8227476274975545,1360214,260,309944,53278
