fund,matched_fund,fund_confidence,cik_no_fund,form_d_fund_id,crd_no_fund,form_adv_fund_id
Cp Atlas Parent Holdings,Atlas Investment Holdings,0.7065575684793828,1835264,96752,157920,102458.0
Beach Point Securitized Credit Fund,Beach Point Securitized Credit Fund,0.0,1640449,36730,148885,6583.0
Jackson Hole Opportunities Fund,Jackson Hole Opportunities Fund,0.0,1862847,112135,285978,20777.0
Nano C,Nanorock Fund,0.9073498166744867,1350327,30190,316012,
Pan Investments Series Stm ,Pan Investments Series Stm ,0.0,1868199,117312,211513,
Wvp Emerging Manager Private Fund,Wvp Emerging Manager Private Fund Lateral Series,0.4532100878081853,1718084,60407,168610,533.0
Cupixel,,0.9999999999999999,1897053,134723,167212,3656.0
Soditic Global Equity Fund,Global Equity Fund,0.665847609215135,1828556,92907,162309,10597.0
Gaingels Worky,Gaingels Spark Ii,0.8996373759435354,1917892,150719,317099,
Batchx,Learnlaunchx,0.9967021659559587,1822567,91335,168697,
F Global Series Cgc Onlyalt,,1.0,1885652,136196,167212,3656.0
Waterland Strategic Opportunities Fund Ii Cv,Waterland Strategic Opportunities Fund I Cv,0.2738523371337425,1930521,159377,161877,
Bac Invest, Invest,0.8691425798427771,1950678,172726,134776,746.0
Renewable Energy Holdco Iii,Renewable Energy Holdco Iii,0.0,1879722,124249,294601,
Exline Industrial Fund Ii,Exeter Industrial Core Fund Iii,0.856787792333274,1821464,88585,161935,
Tree Line Asia Us Feeder Fund,Tree Line Asia Us Feeder Fund,0.0,1419747,31129,288064,
Tetras Capital,Tetras Capital,0.0,1715074,87504,305873,
Probiotic Labs,Atomic Labs I,0.9600790626993579,1852645,107537,210523,
Standard Cognition,Standard Capital,0.9088889361041691,1755359,54212,301865,103796.0
Vr Training Solutions,,1.0,1809205,80677,167212,3656.0
Calmcom,Ilmc,0.8744354648433856,1721834,40677,136045,257.0
Hally Hair,Hal,0.7658475760934381,1871371,117753,155462,146245.0
Wcm Focused Global Growth Long Short Fund,Wcm Focused Global Growth Long Short Offshore Fund,0.3881423476917245,1768104,80913,104702,237.0
Atypical Ventures Fund I,Atypical Ventures Fund I,0.0,1781076,52516,313822,
Producer Owned Beef,,0.9999999999999999,1864600,119124,167212,3656.0
Carlyle Ngp Royalties I Coinvestment,Carlyle Ngp Xi Coinvestment,0.6689402906452879,1818342,86613,111128,3811.0
Avgsf Frore ,Avgsf Frore ,0.0,1818440,86525,170562,
Private Investor Club Feeder Fund  M,Private Investor Club Feeder Fund  M,1.4901161193847656e-08,1892417,139665,307512,
North Shore Otgc,Otgc Fintech Fund I,0.9168963824920616,1926013,156111,284192,
D Money,Lone Monterey,0.8691839071316512,1792268,63112,156602,2629.0
Fiduciary Trust International Private Equity Access Program,Fiduciary Trust International Private Equity Access Program,0.0,1835440,97991,124062,3630.0
Hirtle Callaghan Venture Capital Fund ,Hirtle Callaghan Venture Capital Fund ,1.4901161193847656e-08,1889854,131639,105403,3201.0
Siphox,,1.0,1824002,90331,167212,3656.0
Twm High Yield  Partnership,High Yield Fund,0.8239750675433934,1456738,31732,163176,
Highvista Biotechnology Opportunities Fund,Highvista Biotechnology Opportunities Fund,0.0,1816829,86338,155759,3793.0
Oxbow Master Fund,Oxbow Master Fund Limited,0.4794452203088737,1650559,55487,281481,146003.0
Pure Alpha Crypto Fund,Pure Crypto Ii,0.6536509718154125,1860437,110867,172519,
Ahren,Ahren,0.0,1828950,93298,298100,
Virtue Labs,Av Labs,0.8799374929338883,1692827,94616,160118,7632.0
In Fund I A Series Of Erist Ventures Syndicate,Pi Fund I A Series Of Valor Venture Fund Syndicates,0.6864000112018975,1829851,93357,171740,
Greshamquant Acar Fund,Greshamquant Acar Master Fund,0.37375240360561934,1699397,39185,134392,18972.0
Northern Right Capital Offshore,Northern Right Capital Qp,0.6755527301298102,1607437,70579,133046,3704.0
Clear Creek Capital Partners,Clear Creek Capital Partners,0.0,1650972,70893,285822,
Permian Basin Recovery Fund I,The Permian Basin Recovery Fund I,0.377216231291807,1859524,110698,305324,
Third Eye Health,Third Eye Capital Partners,0.735020859672452,1634005,96216,287819,
Treasury ,Deciens Treasury Prime Spv,0.8762241391112793,1878820,123299,310812,
Ggv Capital Viii,Ggv Capital Viii,0.0,1827494,93598,288013,146092.0
Vision Biobanc Holdings,Alisio Holdings,0.858526639750065,1803257,75890,161443,5285.0
Mgg Sf Evergreen Unlevered Fund,Mgg Sf Evergreen Unlevered Fund,2.1073424255447017e-08,1695215,59222,174126,
Ne Fund I A Series Of Climate Collective,Fund I A Series Of Climate Collective,0.30265351208067054,1950740,172288,297291,
Identifysensors Biologics,,0.9999999999999998,1817371,106623,167212,3656.0
Sharpe Opportunity Fund,Sharpe Opportunity Fund,0.0,1721464,65085,285866,
Ourcrowd Squared Iii,Ourcrowd Squared Iii,0.0,1849994,106659,169475,
Marcy Venture Partners Culture Fund Ii,Marcy Venture Partners Culture Fund Ii,0.0,1867427,127058,301581,
Serengeti Caracal Spc Segregated Portfolio Es,Serengeti Caracal Spc Portfolio Ec,0.6677346973635021,1948460,172817,306961,
Ingwe Capital Boost,Ingwe Capital Boost,0.0,1559695,111886,307215,
Hbk Multi Strategy Fund, Multi Strategy Fund,0.725519354288688,1472483,32191,134776,746.0
Thunder Biotech,Lion Biotech Fund,0.8578683303180383,1707315,167250,290708,
Invictus Alternative Credit Offshore Feeder,Invictus Alternative Credit Fund,0.6522968338985781,1785076,55389,157315,
Harbourvest Adelaide Feeder G,Harbourvest Adelaide,0.4561765313951813,1830230,93689,109846,4037.0
Resolution Life Group Holdings,Resolution Life,0.7490471471485423,1745174,56229,175475,3314.0
Xts,Xt Icon B,0.8086669532599989,1743861,112035,285144,
Wise Biss, Wis,0.9453446781832974,1831779,94927,160068,
Elira, Ele,0.9418656497395888,1652804,37198,160068,
Ad Fund I A Series Of Pf Al,Ad Fund I A Series Of Pf Al,1.0536712127723509e-08,1824952,90363,293424,
Complus Asia Macro Us Feeder Fund,Complus Asia Macro Master Fund,0.6270930928315052,1839376,99871,319703,
Kora Offshore Fund,Aurora Offshore Fund,0.7157041620484386,1596588,72087,127065,6639.0
Iron Gear Iii Oz,,1.0,1834228,96140,167212,3656.0
Haz Fund I A Series Of Riverside Ventures,Fund I A Series Of Riverside Ventures,0.5205633825752282,1837280,97789,311287,
Gaoan Capital Management, Capital Management,0.6860685302795032,1858362,109680,161111,6535.0
Aetos Capital Multi Strategy Arbitrage Cayman Fund Ii,Aetos Capital Multi Strategy Arbitrage Cayman Fund Ii,0.0,1589368,62697,116761,
Car Fund I A Series Of Vela Spv,Car Fund I A Series Of Vela Spv,0.0,1858170,109819,309662,
Bowie Capital Partners,Bowie Capital Partners,0.0,1620003,36055,171023,6237.0
Trash Butler,Andvest Butler,0.8761054515193114,1771212,47178,305612,
S Branch Holdings B,A Holdings B,0.7993714183134223,1884773,126812,135657,2976.0
Yieldx,Yield Pool,0.9809182826288576,1770937,47055,106375,
Tilia Fund Ii,Tilia Fund Ii,0.0,1817643,88088,292148,
Sjc Onshore Direct Lending Fund Iv Smrs,Sjc Onshore Direct Lending Fund Iv Smrs,1.4901161193847656e-08,1801990,74083,159308,
Gappify,Captify Invest,0.9245436021775751,1801724,73801,160561,
Tiger Legatus Long Fund,Tiger Legatus Master Fund,0.6436171626254669,1838300,99740,158590,4359.0
Luxy Technologies,Janvest Technologies,0.8303285326065967,1784891,67607,307760,
Private Investor Club Feeder Fund  G,Private Investor Club Feeder Fund  G,0.0,1867364,127537,307512,
Axa Im Global Emerging Markets Small Cap Fund,Axa Im Global Emerging Markets Small Cap Fund,2.1073424255447017e-08,1616570,58431,109077,9318.0
Nerah Productions,Mapleseed Productions,0.8594456525028421,1884086,126117,315118,
Thrivelution,Thrive Investors,0.922967202126501,1823856,90446,124612,
Anzu Industrial Capital Partners Iii Qp,Anzu Industrial Capital Partners Iii Qp,0.0,1856537,119267,288985,
Cc I Financing,Mco Financing,0.8692579397173346,1893576,133833,143161,8280.0
Neon Wild,Neo ,0.9355000055150365,1841561,100701,294621,
Sixth Street Agriculture Vsc,Sixth Street Agriculture Partners A,0.5716218336525354,1832268,95220,159014,
True Signal Us Fund,True Signal Us Fund,1.4901161193847656e-08,1767195,45081,305088,
Jmd Rei Four,,1.0,1841541,100787,167212,3656.0
Ccsb Wper,Ccsb Wper,1.0536712127723509e-08,1844770,103169,283073,
Payrailz,,0.9999999999999999,1722060,58258,167212,3656.0
Western Alternative Strategies Tail Risk Series,Western Alternative Strategies Tail Risk Series,1.8250120749944284e-08,1820545,90022,116048,145377.0
Rincon Df,Dfi Ancon Invest,0.8803349969350017,1827660,92072,304088,
Spinnaker Gem Holdings,Spinnaker Gem Holdings,0.0,1557814,95943,160208,10500.0
Covalis Capital Energy Transition Fund Sp,Covalis Capital Energy Transition Master Fund Sp,0.33466377787310647,1924938,156079,174043,8397.0
Cultivatemd Capital Accelerator Fund,Accelerator Venture Capital I,0.9099096650093679,1860526,110884,167845,
Scinovia,Inovia Investment Fund ,0.9976904491418706,1627490,36242,162982,
Tbd Angels Clipr A Series Of Assure Labs ,Classy A Series Of Assure Labs ,0.8445124887465155,1828495,94489,310071,
Momentum Real Estate Fund Iv,Momentum Capital Fund I,0.793509157757314,1847608,105829,322442,
Swick Capital Fund,Northwick Capital,0.879796385343212,1745252,119250,322440,
Design Barn,Designer Fund I,0.8372728126401856,1905461,140539,171588,
Madison American Cedarlake Reit,,1.0,1906831,143573,167212,3656.0
Ye Fund I A Series Of Sajid Rahman Angel Funds,Ye Fund I A Series Of Sajid Rahman Angel Funds,1.4901161193847656e-08,1875360,120724,311027,
Sh Sagamore Offshore Viii,Sh Sagamore Vi,0.6636177488434585,1858651,110380,167173,4571.0
Elh Holding Company,Ep Holding Company,0.7555631876386862,1876489,121278,106311,
Perast Fund,Pe Fund Ii,0.9092231400495432,1777291,50499,295160,
Od Fund I A Series Of Sapien Capital,Se Fund I A Series Of Sapien Capital,0.4931602380917985,1900252,136625,297291,
Ping An China New Economy Fund,Ping An China New Economy Fund,1.8250120749944284e-08,1885602,127180,304394,
Scener A Series Of Jasons Syndicate,Scener A Series Of Jason'S Syndicate,0.5742111162262737,1824358,90460,284093,
Coatue Ct ,Coatue Ct ,0.0,1881468,124761,157910,2459.0
Aqr Style Premia Us Long Only Equity Beta  Fund,Aqr Style Premia Us Long Only Equity Beta  Fund,0.0,1735808,41867,111883,84.0
Impressio,Impresa Fund V,0.8195412130516645,1880856,132366,168741,13596.0
Endowment Assurance,Ocean Endowment Fund,0.8269298159592889,1820441,92316,154518,75139.0
Midtown Point,Midtown Sb,0.7077259646833297,1819416,87116,316137,
Nexhealth,,1.0,1682508,59219,167212,3656.0
Mission Value Japan Fund Offshore,Mission Value Japan Fund Offshore,2.1073424255447017e-08,1493785,62431,153704,
Whispersom,Mcm Whisper Fund ,0.9277178751834353,1664437,98626,315386,
Becknell Industrial,Investindustrial V,0.9703330231729915,1828798,92720,163406,
Me Fund I A Series Of First Check Ventures,Fund I A Series Of  Ventures,0.8141937846997065,1876095,121101,315660,
Wvp Emerging Manager Private Fund Alternative Lending Aggregate Series,Wvp Emerging Manager Private Fund Alternative Lending Aggregate Series,0.0,1718080,60406,168610,533.0
Nexpoint Gamma Dst,Gamma Coinvest ,0.92043474755211,1838421,99245,169380,
Rsk Yield Strategies,Yield Strategies Fund I,0.7637319866066189,1925559,158849,106772,839.0
Sc Brands Fos  A Series Of Sc Brands,Sc Brands Fos  A Series Of Sc Brands,0.0,1839496,99650,311359,
Asheville Urban Infill  Qualified Opportunity Zone Investor Fund,Tocqueville Qualified Opportunity Zone Fund ,0.7724868140691038,1777994,50880,105690,643.0
Honte Lh Macro Onshore Fund,Honte Lh Macro Master Fund,0.664942904211223,1741197,42414,308341,142501.0
Glen Echo Fund,Glen Echo Fund,0.0,1581859,54175,125409,4554.0
Sdv Fund I A Series Of Side Door Ventures,Fund I A Series Of  Ventures,0.8570707352880695,1827461,97668,315660,
Brickell Bay Mortgage Opportunity Real Estate Investment Trust Ii,Real Estate Investment Opportunity,0.8185083756955541,1850891,106697,105168,771.0
Wild Pines Investor,Allen Pines Investors,0.8551679681122667,1831500,94761,282244,
Anvaya Senior Living I Ll,Altera Senior Living ,0.8952239641890842,1830347,94719,287467,
Spr Therapeutics,Gmag Therapeutics Fund,0.7566660805494196,1532647,124056,313456,
Or Fund I A Series Of Capital A Funds,Or Fund I A Series Of Moving Capital,0.7023564534272533,1827498,91918,322083,
Burgundy  Offshore Fund,Burgundy  Offshore Fund,0.0,1717410,59098,159518,17767.0
Lorient Healthcare Fund Ii,Lorient Healthcare Fund Ii,0.0,1804378,107574,289572,
Atai Palo Santo Investors,Palo Alto Investment Partners I,0.9281669644046834,1845340,107039,110264,12017.0
Moran Tice : Fund,Moran Tice : Fund,0.0,1829947,96834,305734,18957.0
Vikasa Global Equities,Viking Global Equities,0.7331134292417941,1599655,64068,132272,227.0
Makuria Fund,Makuria Master Fund,0.47548799328154756,1574423,34599,171487,
Enhalus Intertidal Domestic,Enhalus Intertidal Master Fund,0.7021206242515731,1837296,117497,313321,
Templum,Temple Capital Master Fund,0.9473224999360951,1718353,109898,298820,
Randolph Street Investment Partners  Pef,West Street Investment Partners C,0.8428785538895598,1870481,118681,107738,259.0
Th Bridge Games Studio,,0.9999999999999999,1932061,160006,167212,3656.0
Golub Capital Partners International Rollover Fund ,Golub Capital Partners International Rollover Fund ,0.0,1743618,42646,289425,
Generative Gallatin Peak Fund,Generative Teton Fund,0.9694634676300109,1852249,107383,312473,
Ge Fund I A Series Of Dunce Capital Syndicate,Re Fund I A Series Of Mentors Fund Syndicate,0.795065973408508,1881127,124337,316156,
Mrei V Reit Feeder B,Wi Reindeer,0.9323584174329229,1821136,88578,169123,
Lionhedge Platform Fund,Lionhedge Platform Fund,1.4901161193847656e-08,1644648,72891,150754,
Lemonada Media,,0.9999999999999999,1808479,80198,167212,3656.0
Magma Total Return Fund,Total Return Fund,0.6849649970711791,1802354,74365,107382,831.0
Kingdom Home Health Services,Kingdon Healthcare Fund,0.8598784486708896,1829060,94191,157509,745.0
Rtw Innovation Onshore Fund,Rtw Innovation Master Fund,0.6461959099291908,1649577,37094,153232,4782.0
Orion Offshore Fund,Tristan Offshore Fund,0.7646162036308181,1814510,86322,158371,2843.0
Ourcrowd Investment In Theta,Ourcrowd Investment In Theta,0.0,1745632,42876,169475,
Belvedere Nr,Belvedere Equity Fund,0.9013774277749654,1837346,98078,104853,
Cs Georgetown Associates,Cs Georgetown Associates,0.0,1838695,99116,283533,
Magic Mogu,Realty Mogul ,0.937232594660166,1893468,132659,186512,
Surge Avalon Partners,Avalon Partners,0.6486087094096987,1949802,171675,107896,6033.0
Backstage Studio A Series Of Backstage Crowd,Partake Foods A Series Of Backstage Crowd Ii,0.7278581099076431,1834714,96311,306829,
Acp Venture Capital Fund Ii,Acp Venture Capital Fund Ii,1.4901161193847656e-08,1768162,45540,298029,
Global Ecommerce Consolidation Fund,Global Ecommerce Consolidation Fund,1.4901161193847656e-08,1868283,116841,318941,
Crestline Specialty Lending Iii Us,Crestline Specialty Lending Iii,0.37413761664924844,1817557,86131,122711,4559.0
Global Market Neutral Investors Cayman,Global Market Neutral Investors Cayman,1.4901161193847656e-08,1756729,66222,226715,142001.0
Cava Capital Spv Xvi A,Declaration Capital Re Spv Xvi,0.8676549144580381,1832426,94988,297786,
Bi Fund I A Series Of Ordinary,Bi Fund I A Series Of Ordinary,0.0,1835619,96964,309415,
Kb Douglas I Spe Member,,0.9999999999999999,1833315,96560,167212,3656.0
Crown Capital Partners, Capital Partners,0.7377684324231589,1857753,110049,156181,4036.0
Permit Capital Cayman Fund,Permit Capital Fund,0.6086714994175337,1423545,31192,157723,157792.0
Lombard International Life Assurance Separate Account Gva ,Separate Account Icmg Series Iv A Separate Account Of Hartford Life Insurance Company Gs Short Duration,0.840173566374199,1845428,103015,107738,259.0
Alignment Fund I A Series Of Opportunity Master Funds,Alignment Fund I A Series Of Opportunity Master Funds,2.1073424255447017e-08,1860336,110821,292586,
Patton Farms,Marli Farms,0.8687718411474847,1807113,79216,284801,
Onnix Reit,Pinnacle Six One,0.9986037091155587,1843534,102227,126487,142877.0
Ancora Catalyst Spv I Series ,Ancora Catalyst Spv I Series I,0.0981796020913996,1836915,97621,124674,3131.0
Kenwood Fund,Kenwood Fund,0.0,1557804,54172,125409,4554.0
Scenic Woods Acquisitions,Worth Acquisition,0.8302095337855321,1872259,119026,157428,9583.0
Dimensional Funds Plc,Dimension Capital I,0.8987874712819879,1512224,32962,322490,
Cato Partners, Partners,0.7227774660518279,1455012,31680,296322,
Kkr Real Estate Partners Europe Ii Eur Scsp,Kkr Real Estate Partners Europe Ii Eur Scsp,0.0,1795210,68861,226531,
Vip Iv Invest,Vip Iv Invest,0.0,1837513,98712,162759,20771.0
My Medical Hub,,1.0,1797297,68737,167212,3656.0
Long Point Investors,Long Point Investors Senvest Partners Series,0.656254150621002,886562,108700,130585,3095.0
Winter Garden Management, Management,0.7955229963846457,1837292,98071,309414,
Self Storage Portfolio Xii Dst,Portfolio ,0.9337951820542638,1838852,99154,128442,
Kennedy Subbiah Df Seed A Series Of Assure Labs ,Dfs Lab Suplias Investment Spv A Series Of Assure Labs ,0.8883482450835152,1819138,87103,322102,
Oca Fcc Iv Segregated Portfolio,Oca Venbio Iv Segregated Portfolio,0.647261245237913,1945516,172136,144474,7907.0
Appfolio,Appf Pte,0.9259380812209738,1433195,31345,107038,55.0
Light Wave Holding Company,Ep Holding Company,0.8349402415405089,1688871,68332,106311,
Surge A Series Of Assure Labs ,Bark  A Series Of Assure Labs ,0.6332076972836966,1865582,127394,310071,
On Fund I A Series Of Tom Charlie Funds,Com Fund I A Series Of Mv Funds,0.8545823238230416,1830276,93507,311231,
Parks Services,Service Equity Partners,0.9492475153270983,1825335,93427,144278,
Pretium Special Situations Opportunities Offshore Fund,Pretium Special Situtations Opportunities Master Fund,0.5763781838830485,1746856,43013,154057,
Avridh Technologies,Janvest Technologies,0.8748153495345804,1938981,165069,307760,
Advanced Beta Global Macro Fund,Advanced Beta Global Macro Fund,2.1073424255447017e-08,1924591,155344,321663,
Fcp Realty Fund V,Fcp Realty Fund V,0.0,1858516,110095,161468,
Centre Lane Partners V,Centre Lane Partners V,0.0,1819999,87918,160822,
Ot Mbc Fund I,Mbc Private Equity Fund Ii,0.9450056833725533,1938891,165061,160345,
Fpa Value Partners Fund,Fpa Value Partners Fund,0.0,1573341,62259,141823,3177.0
Madrona Acceleration Ii Entrepreneurs Fund,Madrona Acceleration Fund Ii A,0.6790700541242857,1837511,98384,160390,128553.0
Emerging Markets Completion Fund,Emerging Markets Completion Fund,2.1073424255447017e-08,1838825,100404,114310,2278.0
On Fund I A Series Of The Fund Series,Fund I A Series Of The Fund Series,0.32983056837901364,1881712,124666,291516,
Or Fund I A Series Of Roll Up Vehicles,Fund I A Series Of Origins Ventures,0.9722202122139135,1918966,151296,317868,
Wdc Fund ,Wdc Fund ,0.0,1836012,97325,306299,104161.0
Aqr Tax Advantaged Absolute Return Fund,Aqr Tax Advantaged Absolute Return Fund,1.4901161193847656e-08,1714728,61403,111883,84.0
Gef Us Climate Solutions Fund Ii,Gef Us Climate Solutions Fund Ii,2.1073424255447017e-08,1884700,127305,293329,
Lsigp Iii,Agp Aii,0.9950009050550455,1819504,87127,138600,
Revoz Fund Iii,Qoz I,0.9422581923881611,1830406,99209,291642,
Tendonova,Sandoval,0.8868912525341847,1774275,48922,159883,4636.0
Hinge Capital Open Fund,Hinge Capital Open Fund,0.0,1826260,91411,168337,
Patoma Fund I,Sonoma Fund ,0.9160037346292353,1835677,100366,306961,
H Health Investment Fund Ii,Global Health Investment Fund I,0.7136286633687999,1834491,98506,285306,
Marin Sonoma Impact Ventures Fund I,Marin Sonoma Impact Ventures Fund I,0.0,1890296,130011,324038,
Careier,Zeitgeist  A Series Of Zeitgeist,0.9972771551557674,1909127,151333,284084,
Cwm Social Impact Fund,Cwm Social Impact Fund Lcc,0.4537652516258194,1815509,86586,310873,144201.0
Teneo Partners,Teneo Partners,0.0,1806852,79013,309009,
Variant Fund Ii,Variant Fund Ii,1.4901161193847656e-08,1861370,118320,306409,
Qwake Technologies,Janvest Technologies,0.86533903199423,1871374,118021,307760,
Ventana Health Services,Meta Health Ventures,0.8751362973277057,1433714,31356,305255,
Hedge Fund Opportunities,Hedge Fund Opportunities,0.0,1357546,30281,107850,142443.0
Aspiriant Holdings,Caspian Sc Holdings,0.7445417954222291,1554147,34034,155751,4102.0
Bain Dynamic Equity Global Equity Select,Bain Dynamic Equity Global Equity Select,1.8250120749944284e-08,1884974,126988,107738,259.0
Wedgemount Resources,Ma Resources Fund ,0.8598413811562581,1873051,119636,106300,12052.0
Fiveable,Stable Fund,0.8833921593217532,1797279,69474,129410,9680.0
Colchester Global Bond Low Duration Fund,The Colchester Global Bond Low Duration Fund,0.30259183172581966,1580792,62264,110985,
Boba Guys,,1.0,1682725,172665,167212,3656.0
Octagon Investments Offshore Fund,Octagon Investments Master Fund,0.7093939438840232,1796251,68095,306424,104004.0
Rhmastry Spv,Rhmastry Spv,1.4901161193847656e-08,1826221,96227,311090,
Naturetrak,,1.0,1824158,89992,167212,3656.0
Madison International Real Estate Liquidity Fund Viii Te,Madison International Real Estate Liquidity Fund Viii,0.26174411254619473,1848957,107480,158165,5298.0
Blue Cloud Ventures Iv,Blue Cloud Ventures Iv,0.0,1829092,93303,167512,
Timothy Ray Howard Ii Whfit,,1.0,1763283,126728,167212,3656.0
Compass Special Situations Fund,Ares Special Situations Fund,0.658239533876891,1457542,31754,130074,2887.0
Finxact,,1.0,1763430,104498,167212,3656.0
Ti Platform Sjfed,Ti Platform Sjfed,0.0,1866922,119977,287674,
Mint Civitas Fund I A Series Of Assure Labs ,Mint Civitas Fund I A Series Of Assure Labs ,1.8250120749944284e-08,1834956,98670,317471,
Water Street Fund Ii,Water Street Partners,0.6625052991595051,1876318,121269,158133,
Abr First Capital,First Person Capital Fund I,0.899180238209518,1824547,96672,312934,
Light Street Xenon,Light Street Xenon,0.0,1550746,65441,155215,4444.0
Gearson Partners Fund, Partners Fund,0.7632258424790318,1696963,97659,158265,6600.0
Le Chandelle,Chancellor V,0.9502393411066525,1848331,105370,107584,3412.0
Guggenheim Core Plus Fund,Guggenheim Core Plus Master Fund,0.3442743850545121,1665187,37601,137432,97.0
Brixton Metals,,1.0,1548958,56470,167212,3656.0
Epirus,Ep,0.8294812548591859,1793592,64630,284810,
Bu Fund I A Series Of Chris Golda Investments,Bu Fund I A Series Of Chris Golda Investments,0.0,1832522,95083,304833,
Qbit Global Ventures Fund I,Global Ventures,0.8302772008836025,1908996,158998,307766,
Global Transport Income Fund Feeder,Global Transport Income Fund Feeder,0.0,1718743,40472,107038,55.0
Ando,Anda Eldorado Private Fund,0.8898512711733675,1863748,112897,165123,
Laird Norton Trust Company,Wellington Trust Company Na Multiple Common Trust Funds Trust Emerging Companies Portfolio,0.86766479226656,723204,7480,106595,784.0
Wasserstein Short Duration High Income Fund,Wasserstein Short Duration High Income Fund,0.0,1808091,79944,286158,128232.0
Andalusian Spv I,Andalusian Spv I,1.8250120749944284e-08,1870179,117720,313032,
Prospect Ridge Real Estate Debt Fund,Prospect Ridge Real Estate Debt Fund,1.4901161193847656e-08,1870321,117721,299594,
Gavin Special Opportunities Fund,Gavin Special Opportunities Fund,0.0,1758845,65109,140261,
Gaucho Group Holdings,Am Group Holdings,0.7789429257407943,1559998,34180,165478,
Ares Scm Invest Iii,Ares Scm Invest Iii,0.0,1795698,93537,130074,2887.0
Sinfonietta,Sinfonietta Master Fund,0.5884456591648893,1711109,40033,170667,
Boxvana,Nova Boxer,0.9750807299088339,1863959,112711,164451,
Nicola Precious Metals Fund,Nicola Precious Metals Fund,1.4901161193847656e-08,1857286,108973,173201,9729.0
Secchi,,1.0,1940068,165194,167212,3656.0
Flexwise Health,,1.0,1774791,49215,167212,3656.0
Su Fund I A Series Of Not Boring Ventures,Su Fund I A Series Of Not Boring Ventures,1.4901161193847656e-08,1859144,110218,315644,
Ae Fund I A Series Of Awesome People Ventures,Awesome People Ventures A Series Of Awesome People Ventures,0.4351299945972925,1848686,105538,304137,
Gt Special Opportunities Iii A,Gt Special Opportunities Iii A,0.0,1764932,44380,109319,
Endear Health,Mars Health Fund I,0.8150198869375607,1878315,124105,283347,
Rewindlive,,0.9999999999999998,1826589,91451,167212,3656.0
Ness Well, West,0.8424319719842562,1907681,143397,160068,
Neuralmagic,,0.9999999999999999,1733316,64126,167212,3656.0
Bg Tech,Ca Tech Fund I,0.972841628870777,1838280,98759,318250,
Mvp Opportunity Fund Vi Series Vi U,Mvp Opportunity Fund Vi Series Vi C,0.2587358131350701,1838213,99073,282143,
Cinctive Cav Offshore,Cinctive Cav Master,0.8054947451434289,1791015,61843,304726,75737.0
Ki Fund I A Series Of Better Capital,Fund I A Series Of Gutter Capital,0.7625041542580815,1947205,171358,320795,
Red Moon Resources,Ma Resources Fund ,0.7794681373315262,1841942,107748,106300,12052.0
Gaingels Xendoo,Gaingels Meadow,0.9328144927555553,1916350,159316,317099,
Meridian Mvc Bp Lewisville,,1.0,1826963,91523,167212,3656.0
Bugworks Research,,1.0,1659031,94606,167212,3656.0
Twinstrand Biosciences,Lav Biosciences Fund V,0.8756335672007501,1677173,69706,300989,
Diversified Residential Portfolio Dst,Private Diversifiers Portfolio ,0.7807420794690848,1831648,96006,159198,4363.0
Avengers Inner Circle,Founders Circle,0.8863948238208831,1862509,111990,149991,75432.0
Connected International,International I,0.682175938119988,1852658,108761,121942,2330.0
Gwg Life Settlements,Norcal Life Settlements Fund,0.8346698456631251,1456381,100130,152947,82942.0
Atx Commodities,K Commodities Fund,0.8486676020544344,1950377,171712,123826,477.0
First Street Station Rc,Fifth Street Station,0.8080763472487197,1841321,155242,315897,
Lapa Capital Partners,Opal Capital Partners,0.6148406671433381,1830988,94400,164014,
Capital Real Estate Sienna,Real Estate Capital Fund,0.6745426179762829,1653041,117810,122268,
Scg Jet Edge Holdings Limited Partnership,Cgs Iv Jersey Limited Partnership,0.9233639521082373,1858741,110115,166379,
Acr Strategic Credit,Acr Strategic Credit,1.0536712127723509e-08,1839960,99696,110933,6738.0
Belveron Partners Fund Vi Preservation,Belveron Partners Fund Vi Preservation,1.4901161193847656e-08,1830067,98988,282072,4819.0
Mp Doorstead Investments,Mp Morty Investments,0.8516292873904648,1939366,171761,297815,
Focus Inde Asia Growth Fund,Formula Growth Focus Fund,0.7751837307139645,1825353,92830,163245,5431.0
Re Fund I A Series Of Adept Ventures,Fund I A Series Of  Ventures,0.7133781000086127,1851155,106968,315660,
Data Vault Holdings,Valterra Data Holdings,0.7100809160263652,1882356,156170,316443,
Ahimsa,Ah,0.8974977981831833,1832194,96689,162835,
Bt Select Fund I,Bt Select Fund I,1.4901161193847656e-08,1762198,79062,291657,
Gelmedix,,0.9999999999999999,1815624,84781,167212,3656.0
Glide Path Solutions Te ,Glide Path Solutions ,0.3842006296968884,1833970,96102,159198,4363.0
Merewether Energy Transformation Fund,Merewether Energy Transformation Master Fund,0.29793172222502995,1870867,120771,293711,81287.0
Altior Capital Partners,Altior Capital Partners,0.0,1873384,120651,316734,
East Campus Surgery Center,,0.9999999999999998,1046641,127257,167212,3656.0
Kings Bay Resources,Bay Resource Partners,0.7790433613547524,1745307,105564,160404,142081.0
Nexus Parent,Nexus Ventures Iv,0.6246143921040734,1791708,63079,162763,
Fidera Feeder Sa Sicav Raif,Fidera Feeder Sa Sicav Raif,1.4901161193847656e-08,1820303,87920,304919,
Vicksburg Renal Construction,Vicksburg Municipal Trading Fund,0.9882973718896433,1829067,92987,150575,
