,form_d_fund_id,cik_no_fund,fund,form_adv_fund_id,crd_no_fund,matched_fund,fund_confidence,form_adv_firm_id,crd_no_firm,matched_firm,firm_confidence,related_partners,direct_owners_firm,owners_firm_ratio,direct_owners_fund,owners_fund_ratio
484,29899,1321252,Cedarview Opportunities I,6710.0,136253,Cedarview Opportunities Master Fund,0.436,,157371,Fairview Special Opportunities Management,0.778,Josh Gottlieb,,0.0,Wind Stephen Michael,0.242
485,29761,1307091,Margin Of Safety Fund Ii,,162080,The Margin Of Safety Fund Ii,0.442,,143918,Safety Of Principle Wealth Management,0.967,Brett Fromson,Feyers Kenneth Scott,0.303,Fromson Brett Duval,0.438
486,29761,1307091,Margin Of Safety Fund Ii,,162080,The Margin Of Safety Fund Ii,0.442,,143918,Safety Of Principle Wealth Management,0.967,Value Associates,Feyers Kenneth Scott,0.222,Fromson Brett Duval,0.171
487,29107,1211481,Margin Of Safety Fund,,294869,The Margin Of Safety Fund,0.453,,143918,Safety Of Principle Wealth Management,0.929,Brett Fromson,Feyers Kenneth Scott,0.303,Fromson Brett Duval,0.438
488,29107,1211481,Margin Of Safety Fund,,294869,The Margin Of Safety Fund,0.453,,143918,Safety Of Principle Wealth Management,0.929,Lakeville Associates,Feyers Kenneth Scott,0.25,Fromson Brett Duval,0.154
489,30060,1337191,Brenner West Capital Partners L P,208.0,138541,Brenner West Capital Partners,0.456,208.0,138541,Brenner West Capital Partners,0.496,Craig Nerenberg,Nerenberg Craig Brenner,0.579,Nerenberg Craig Brenner,0.579
490,30060,1337191,Brenner West Capital Partners L P,208.0,138541,Brenner West Capital Partners,0.456,208.0,138541,Brenner West Capital Partners,0.496,Brenner West Capital Investors,Nerenberg Craig Brenner,0.491,Nerenberg Craig Brenner,0.491
491,30060,1337191,Brenner West Capital Partners L P,208.0,138541,Brenner West Capital Partners,0.456,208.0,138541,Brenner West Capital Partners,0.496,Joshua Kaufman,Kaufman Joshua Wes,0.438,Kaufman Joshua Wes,0.438
492,30113,1341762,Third Point Ultra,221.0,137927,Third Point Ultra Master Fund,0.463,221.0,137927,Third Point,0.728,Will Song,Song William,0.381,Song William,0.381
493,30113,1341762,Third Point Ultra,221.0,137927,Third Point Ultra Master Fund,0.463,221.0,137927,Third Point,0.728,Ronald Degraaf,Loeb Daniel Seth,0.333,Loeb Daniel Seth,0.333
494,30113,1341762,Third Point Ultra,221.0,137927,Third Point Ultra Master Fund,0.463,221.0,137927,Third Point,0.728,Richard Haas,Haas Richard Mendy,0.533,Haas Richard Mendy,0.533
495,30113,1341762,Third Point Ultra,221.0,137927,Third Point Ultra Master Fund,0.463,221.0,137927,Third Point,0.728,John Banks,Targoff Joshua Laurence,0.364,Targoff Joshua Laurence,0.364
496,30113,1341762,Third Point Ultra,221.0,137927,Third Point Ultra Master Fund,0.463,221.0,137927,Third Point,0.728,David Litton,Third Point Lp,0.385,Third Point Lp,0.385
497,29709,1302145,Miura Global Fund,3008.0,161017,Miura Global Master Fund,0.47,3008.0,161017,Miura Global Management,0.607,Alaina Danley,Alfaro Francisco,0.414,Alfaro Francisco,0.414
498,29709,1302145,Miura Global Fund,3008.0,161017,Miura Global Master Fund,0.47,3008.0,161017,Miura Global Management,0.607,Miura Global Management,Luca Joseph Anthony,0.333,Luca Joseph Anthony,0.333
499,29709,1302145,Miura Global Fund,3008.0,161017,Miura Global Master Fund,0.47,3008.0,161017,Miura Global Management,0.607,Roger Hanson,Alfaro Francisco,0.429,Alfaro Francisco,0.429
500,29709,1302145,Miura Global Fund,3008.0,161017,Miura Global Master Fund,0.47,3008.0,161017,Miura Global Management,0.607,Francisco Alfaro,Alfaro Francisco,0.562,Alfaro Francisco,0.562
501,30123,1342324,Ardent Property Investments,,161719,Ardent Property Investments Limited,0.496,,157216,Property Investment Advisors,0.722,Michael King,Boggs Christopher Brandon,0.27,King Michael Frank,0.6
502,30123,1342324,Ardent Property Investments,,161719,Ardent Property Investments Limited,0.496,,157216,Property Investment Advisors,0.722,Graham Farinha,Croy David Mark,0.345,Farinha Graham Jude,0.424
503,30123,1342324,Ardent Property Investments,,161719,Ardent Property Investments Limited,0.496,,157216,Property Investment Advisors,0.722,Giles Cadman,Boggs Christopher Brandon,0.324,Cadman Giles,0.5
504,25046,1609319,Nuvola,,164742, Nuvolau,0.501,7577.0,119840,Nuverse Advisors,0.897,Mitchell Saltz,Becker Michael Stephen,0.5,Sablon Investments,0.25
505,25046,1609319,Nuvola,,164742, Nuvolau,0.501,7577.0,119840,Nuverse Advisors,0.897,Ronald Miller Jr,Saali Stephen Joseph,0.333,Van Thiel Gijsbert Frans Jan,0.364
506,25046,1609319,Nuvola,,164742, Nuvolau,0.501,7577.0,119840,Nuverse Advisors,0.897,Barry Monheit,Becker Michael Stephen,0.4,Der Kinderen Marc Joannes Martinus,0.34
507,25046,1609319,Nuvola,,164742, Nuvolau,0.501,7577.0,119840,Nuverse Advisors,0.897,William Scheidhauer,Schlein Dov Chaim,0.389,Van Thiel Gijsbert Frans Jan,0.298
508,29179,1221903,Sheffield Partners L P,3174.0,137065,Sheffield Partners,0.503,3174.0,137065,Sheffield Asset Management,0.875,Scott Perlen,Perlen Scott Eric,0.483,Perlen Scott Eric,0.483
509,29179,1221903,Sheffield Partners L P,3174.0,137065,Sheffield Partners,0.503,3174.0,137065,Sheffield Asset Management,0.875,N A Sheffield Asset Management,Peluso Michelle Helena,0.346,Peluso Michelle Helena,0.346
510,29179,1221903,Sheffield Partners L P,3174.0,137065,Sheffield Partners,0.503,3174.0,137065,Sheffield Asset Management,0.875,Brian Feltzin,Feltzin Brian Jay,0.467,Feltzin Brian Jay,0.467
511,30421,1369622,Brenner West Capital Offshore Fund,4431.0,160197, West Capital Offshore Fund,0.504,,113184,Contrarian Capital Offshore Management,0.85,Joshua Kaufman,,0.0,Ramin Joel Nmn,0.357
512,30421,1369622,Brenner West Capital Offshore Fund,4431.0,160197, West Capital Offshore Fund,0.504,,113184,Contrarian Capital Offshore Management,0.85,Thomas Parsons,,0.0,Gilmore James Francis,0.4
513,30421,1369622,Brenner West Capital Offshore Fund,4431.0,160197, West Capital Offshore Fund,0.504,,113184,Contrarian Capital Offshore Management,0.85,Cormac Sheehan,,0.0,Gilmore James Francis,0.343
514,27700,1008845,Financial Edge Fund L P,4287.0,162083,Financial Edge Fund,0.512,,114609,Financial Edge,0.773,Pl Capital Advisors,Fitzgerald Mary Catherine,0.273,Dwyer Matthew Christopher,0.364
515,27700,1008845,Financial Edge Fund L P,4287.0,162083,Financial Edge Fund,0.512,,114609,Financial Edge,0.773,Richard Lashley,Fitzgerald Mary Catherine,0.35,Lashley Richard J,0.5
516,27700,1008845,Financial Edge Fund L P,4287.0,162083,Financial Edge Fund,0.512,,114609,Financial Edge,0.773,John Palmer,Hinojosa Liann Marie,0.323,Palmer John William,0.467
517,27700,1008845,Financial Edge Fund L P,4287.0,162083,Financial Edge Fund,0.512,,114609,Financial Edge,0.773,Pl Capital,Fitzgerald Mary Catherine,0.286,Palmer John William,0.345
518,27782,1019432,Leviticus Partners L P,13817.0,160452,Leviticus Partners,0.513,,161326,Marcus Partners,0.876,Amh Equity,Mcdonough Ryan Troy,0.207,Hutt Adam Michael,0.296
519,27782,1019432,Leviticus Partners L P,13817.0,160452,Leviticus Partners,0.513,,161326,Marcus Partners,0.876,Adam Hutt,Marcus Paul R,0.273,Hutt Adam Michael,0.385
520,32989,1512990,Sr Capital Management,6535.0,161111, Capital Management,0.518,,146850,Sra Capital Management,0.466,Santosh Ragi,Bossuat Joshua Edward,0.424,Haynes Douglas Dale,0.387
521,32989,1512990,Sr Capital Management,6535.0,161111, Capital Management,0.518,,146850,Sra Capital Management,0.466,N A Srvd Capital Management,Swift Brian Garner,0.356,Point Capital Holdings Lp,0.423
522,32989,1512990,Sr Capital Management,6535.0,161111, Capital Management,0.518,,146850,Sra Capital Management,0.466,Vatsal Doshi,Bossuat Joshua Edward,0.364,Point Capital Advisors,0.412
523,30091,1340290,Psam Worldarb Partners,978.0,149236,Psam Worldarb Master Fund,0.533,9046.0,145965,World Capital Partners,0.926,Synapse Iv,Valenti Iii Samuel,0.286,Chappelear Richard R,0.267
524,30091,1340290,Psam Worldarb Partners,978.0,149236,Psam Worldarb Master Fund,0.533,9046.0,145965,World Capital Partners,0.926,Peter Schoenfeld,Valenti Iii Samuel,0.353,Greenwald Caroline Schoenfeld,0.622
525,30091,1340290,Psam Worldarb Partners,978.0,149236,Psam Worldarb Master Fund,0.533,9046.0,145965,World Capital Partners,0.926,P Schoenfeld Asset Management Lp,Isola Robert Andrew,0.314,P Schoenfeld Asset Management Gp,0.969
526,29682,1300115,Hcp Absolute Return Fund Offshore Feeder Ai,11277.0,106759,Hcp Absolute Return Fund Master Feeder Ai,0.533,,42938,Absolute Return Advisors,0.959,John Buoymaster,,0.0,John W Buoymaster Revocable Trust,0.625
527,29682,1300115,Hcp Absolute Return Fund Offshore Feeder Ai,11277.0,106759,Hcp Absolute Return Fund Master Feeder Ai,0.533,,42938,Absolute Return Advisors,0.959,Kathryn Hall,,0.0,Hall Kathryn Ann,0.571
528,29682,1300115,Hcp Absolute Return Fund Offshore Feeder Ai,11277.0,106759,Hcp Absolute Return Fund Master Feeder Ai,0.533,,42938,Absolute Return Advisors,0.959,Mick Hellman,,0.0,Morrison Helane Leslie,0.471
529,29682,1300115,Hcp Absolute Return Fund Offshore Feeder Ai,11277.0,106759,Hcp Absolute Return Fund Master Feeder Ai,0.533,,42938,Absolute Return Advisors,0.959,N A Hall Capital Partners,,0.0,Big Fish Partners,0.524
530,29682,1300115,Hcp Absolute Return Fund Offshore Feeder Ai,11277.0,106759,Hcp Absolute Return Fund Master Feeder Ai,0.533,,42938,Absolute Return Advisors,0.959,Mark Mckee,,0.0,Barger Matthew Reed,0.414
531,29682,1300115,Hcp Absolute Return Fund Offshore Feeder Ai,11277.0,106759,Hcp Absolute Return Fund Master Feeder Ai,0.533,,42938,Absolute Return Advisors,0.959,Matthew Barger,,0.0,Barger Matthew Reed,0.545
532,29982,1329208,Zazove Offshore Global Convertible Fund,2078.0,104751,Zazove Global Convertible Master Fund,0.547,13354.0,108035,Entrust Global Partners Offshore,0.976,N A Tilly Directors Limited,Zelenko Kuller Jill Nmn,0.32,Cook Family Trust Dtd ,0.408
533,29982,1329208,Zazove Offshore Global Convertible Fund,2078.0,104751,Zazove Global Convertible Master Fund,0.547,13354.0,108035,Entrust Global Partners Offshore,0.976,Steven Kleiman,Zelenko Kuller Jill Nmn,0.541,Steven M Kleiman Declaration Of Trust Dtd ,0.5
534,29982,1329208,Zazove Offshore Global Convertible Fund,2078.0,104751,Zazove Global Convertible Master Fund,0.547,13354.0,108035,Entrust Global Partners Offshore,0.976,N A Coultry Directors,Hymowitz Gregg Scott,0.341,Steven M Kleiman Declaration Of Trust Dtd ,0.349
535,29982,1329208,Zazove Offshore Global Convertible Fund,2078.0,104751,Zazove Global Convertible Master Fund,0.547,13354.0,108035,Entrust Global Partners Offshore,0.976,N A Zazove Associates,Weigand Kristin Marie,0.286,Zazove Associates,0.895
536,29982,1329208,Zazove Offshore Global Convertible Fund,2078.0,104751,Zazove Global Convertible Master Fund,0.547,13354.0,108035,Entrust Global Partners Offshore,0.976,Gene Pretti,Weigand Kristin Marie,0.375,Pretti Gene Thomas,0.414
537,33698,1543680,Palestra Capital Offshore Fund,,305398, Capital Fund Offshore I,0.559,,113184,Contrarian Capital Offshore Management,0.748,Kevin Phillip,,0.0, Capital Holdings,0.333
538,33698,1543680,Palestra Capital Offshore Fund,,305398, Capital Fund Offshore I,0.559,,113184,Contrarian Capital Offshore Management,0.748,Palestra Capital Management,,0.0, Capital Holdings,0.5
539,33698,1543680,Palestra Capital Offshore Fund,,305398, Capital Fund Offshore I,0.559,,113184,Contrarian Capital Offshore Management,0.748,John Dagostino,,0.0,Bhus Holdings,0.37
540,33698,1543680,Palestra Capital Offshore Fund,,305398, Capital Fund Offshore I,0.559,,113184,Contrarian Capital Offshore Management,0.748,Andrew Immerman,,0.0,Ulmer Andrew Todd,0.438
541,29684,1300117,Hcp Absolute Return Fund Offshore Feeder,11277.0,106759,Hcp Absolute Return Fund Master Feeder,0.564,,42938,Absolute Return Advisors,0.944,John Buoymaster,,0.0,John W Buoymaster Revocable Trust,0.625
542,29684,1300117,Hcp Absolute Return Fund Offshore Feeder,11277.0,106759,Hcp Absolute Return Fund Master Feeder,0.564,,42938,Absolute Return Advisors,0.944,Kathryn Hall,,0.0,Hall Kathryn Ann,0.571
543,29684,1300117,Hcp Absolute Return Fund Offshore Feeder,11277.0,106759,Hcp Absolute Return Fund Master Feeder,0.564,,42938,Absolute Return Advisors,0.944,Mark Mckee,,0.0,Barger Matthew Reed,0.414
544,29684,1300117,Hcp Absolute Return Fund Offshore Feeder,11277.0,106759,Hcp Absolute Return Fund Master Feeder,0.564,,42938,Absolute Return Advisors,0.944,Matthew Barger,,0.0,Barger Matthew Reed,0.545
545,29684,1300117,Hcp Absolute Return Fund Offshore Feeder,11277.0,106759,Hcp Absolute Return Fund Master Feeder,0.564,,42938,Absolute Return Advisors,0.944,N A Hall Capital Partners,,0.0,Big Fish Partners,0.524
546,29684,1300117,Hcp Absolute Return Fund Offshore Feeder,11277.0,106759,Hcp Absolute Return Fund Master Feeder,0.564,,42938,Absolute Return Advisors,0.944,Mick Hellman,,0.0,Morrison Helane Leslie,0.471
547,31261,1428064,Dalton Asia Offshore Feeder Fund,,153777,One Dalton Offshore Feeder Fund,0.574,,138724,Eidesis Offshore Management,0.945,Asia Gp,,0.0,Saliba Ramsey,0.3
548,31261,1428064,Dalton Asia Offshore Feeder Fund,,153777,One Dalton Offshore Feeder Fund,0.574,,138724,Eidesis Offshore Management,0.945,Kyle Kazan,,0.0,Leach Jonathan,0.417
549,31261,1428064,Dalton Asia Offshore Feeder Fund,,153777,One Dalton Offshore Feeder Fund,0.574,,138724,Eidesis Offshore Management,0.945,James Rosenwald Iii,,0.0,Gonzalez Carlos Javier,0.341
550,31261,1428064,Dalton Asia Offshore Feeder Fund,,153777,One Dalton Offshore Feeder Fund,0.574,,138724,Eidesis Offshore Management,0.945,Tony Hsu,,0.0,Gilligan Trudi,0.273
551,31261,1428064,Dalton Asia Offshore Feeder Fund,,153777,One Dalton Offshore Feeder Fund,0.574,,138724,Eidesis Offshore Management,0.945,Dalton Investments,,0.0,Citigroup Investment Partners,0.596
552,31261,1428064,Dalton Asia Offshore Feeder Fund,,153777,One Dalton Offshore Feeder Fund,0.574,,138724,Eidesis Offshore Management,0.945,David Robinson,,0.0,Saliba Ramsey,0.37
553,31261,1428064,Dalton Asia Offshore Feeder Fund,,153777,One Dalton Offshore Feeder Fund,0.574,,138724,Eidesis Offshore Management,0.945,Rachel Hill,,0.0,Odonnell Daniel Glenn,0.375
554,24449,1430523,Verus International,2330.0,121942,International I,0.577,,109056,International Investment Trust,0.781,Christopher Cutchens,,0.0,Powers Thomas F X,0.324
555,24449,1430523,Verus International,2330.0,121942,International I,0.577,,109056,International Investment Trust,0.781,Anshu Bhatnagar,,0.0,Amg Boston Holdings,0.353
556,24449,1430523,Verus International,2330.0,121942,International I,0.577,,109056,International Investment Trust,0.781,Michael Ogorman,,0.0,Powers Thomas F X,0.312
557,24449,1430523,Verus International,2330.0,121942,International I,0.577,,109056,International Investment Trust,0.781,Donald Monaco,,0.0,Rouse David John,0.414
558,24449,1430523,Verus International,2330.0,121942,International I,0.577,,109056,International Investment Trust,0.781,Keith White,,0.0,Roberts Iii Thomas Williams,0.316
559,24449,1430523,Verus International,2330.0,121942,International I,0.577,,109056,International Investment Trust,0.781,Thomas Fore,,0.0,Powers Thomas F X,0.571
560,24449,1430523,Verus International,2330.0,121942,International I,0.577,,109056,International Investment Trust,0.781,Alex Aliksanyan,,0.0,Amg Boston Holdings,0.294
561,24449,1430523,Verus International,2330.0,121942,International I,0.577,,109056,International Investment Trust,0.781,William Kerby,,0.0,Roberts Iii Thomas Williams,0.35
562,24449,1430523,Verus International,2330.0,121942,International I,0.577,,109056,International Investment Trust,0.781,Douglas Checkeris,,0.0,Kotler Harold Gilbert,0.316
563,24449,1430523,Verus International,2330.0,121942,International I,0.577,,109056,International Investment Trust,0.781,Pat Lavecchia,,0.0,Rouse David John,0.276
564,24449,1430523,Verus International,2330.0,121942,International I,0.577,,109056,International Investment Trust,0.781,Thomas Grbelja,,0.0,Powers Thomas F X,0.452
565,30473,1372818,Scs Opportunities Fund,2854.0,106109, Opportunities Fund ,0.578,,285575,Eschaton Opportunities Fund Management,0.772,Damian Juric,William Strong Advisors,0.286,Alamuddin Tamer Makram,0.353
566,30473,1372818,Scs Opportunities Fund,2854.0,106109, Opportunities Fund ,0.578,,285575,Eschaton Opportunities Fund Management,0.772,N A Scs Capital Management,Shaoul Ralph Abraham,0.348,"Choate Advisors Management ""Cami""",0.475
567,30473,1372818,Scs Opportunities Fund,2854.0,106109, Opportunities Fund ,0.578,,285575,Eschaton Opportunities Fund Management,0.772,Alan Tooker,Strong William Walker,0.375,Alamuddin Tamer Makram,0.485
568,30653,1386294,Ionic Capital,3282.0,156400,Ionic Capital Master Fund,0.579,3282.0,156400,Ionic Capital Management,0.458,Adam Radosti,Radosti Adam Stephen,0.438,Radosti Adam Stephen,0.438
569,30653,1386294,Ionic Capital,3282.0,156400,Ionic Capital Master Fund,0.579,3282.0,156400,Ionic Capital Management,0.458,N A Ionic Capital Management,Ionic Capital Management Holdings Lp,0.75,Ionic Capital Management Holdings Lp,0.75
570,30653,1386294,Ionic Capital,3282.0,156400,Ionic Capital Master Fund,0.579,3282.0,156400,Ionic Capital Management,0.458,John Richardson,Richardson John Christopher,0.476,Richardson John Christopher,0.476
571,30653,1386294,Ionic Capital,3282.0,156400,Ionic Capital Master Fund,0.579,3282.0,156400,Ionic Capital Management,0.458,Bart Baum,Baum Bart Ethan,0.5,Baum Bart Ethan,0.5
572,30653,1386294,Ionic Capital,3282.0,156400,Ionic Capital Master Fund,0.579,3282.0,156400,Ionic Capital Management,0.458,Matthew Begley,Begley Matthew Griffin,0.444,Begley Matthew Griffin,0.444
573,30653,1386294,Ionic Capital,3282.0,156400,Ionic Capital Master Fund,0.579,3282.0,156400,Ionic Capital Management,0.458,Arthur Vaccarino,Vaccarino Arthur,0.562,Vaccarino Arthur,0.562
574,30653,1386294,Ionic Capital,3282.0,156400,Ionic Capital Master Fund,0.579,3282.0,156400,Ionic Capital Management,0.458,Daniel Stone,Stone Daniel Lazard,0.452,Stone Daniel Lazard,0.452
575,30653,1386294,Ionic Capital,3282.0,156400,Ionic Capital Master Fund,0.579,3282.0,156400,Ionic Capital Management,0.458,N A Ionic Capital Advisors,Ionic Capital Management Holdings Lp,0.548,Ionic Capital Management Holdings Lp,0.548
576,30675,1387845,Hcp Special Opportunities Fund L P,11277.0,106759,Hcp Special Opportunities Master Fund,0.581,,309665,Jes Special Opportunities Venture Fund Gp,0.775,N A Hcp Sof Management,Sacon Lionel,0.294,Hcp Investors,0.4
577,30675,1387845,Hcp Special Opportunities Fund L P,11277.0,106759,Hcp Special Opportunities Master Fund,0.581,,309665,Jes Special Opportunities Venture Fund Gp,0.775,N A Hall Capital Partners,Smerling Financial Group,0.327,Big Fish Partners,0.524
578,30675,1387845,Hcp Special Opportunities Fund L P,11277.0,106759,Hcp Special Opportunities Master Fund,0.581,,309665,Jes Special Opportunities Venture Fund Gp,0.775,Kathryn Hall,Havelka John William,0.375,Hall Kathryn Ann,0.571
579,23930,1350773,Ascend Acquisition,,284659, Acquisition,0.583,,323495,Regis Acquisition,0.721,Robert Regular,Henry Michael,0.37,Patel Chandra R,0.345
580,23930,1350773,Ascend Acquisition,,284659, Acquisition,0.583,,323495,Regis Acquisition,0.721,Limor Zabari,Lorenz Kimberly,0.444,Patel Chandra R,0.222
581,23930,1350773,Ascend Acquisition,,284659, Acquisition,0.583,,323495,Regis Acquisition,0.721,Sam Humphreys,Barton David Hurless,0.424,Patel Chandra R,0.286
582,23930,1350773,Ascend Acquisition,,284659, Acquisition,0.583,,323495,Regis Acquisition,0.721,Jonathan Ledecky,Cataldo Christine Adele,0.359,Patel Chandra R,0.387
583,23930,1350773,Ascend Acquisition,,284659, Acquisition,0.583,,323495,Regis Acquisition,0.721,Jeremy Zimmer,Lorenz Kimberly,0.5,Sardelli Rowena Nmn,0.25
584,23930,1350773,Ascend Acquisition,,284659, Acquisition,0.583,,323495,Regis Acquisition,0.721,Ben Lewis,Pierson Loren,0.455,Antarctica Investors,0.276
585,23930,1350773,Ascend Acquisition,,284659, Acquisition,0.583,,323495,Regis Acquisition,0.721,Craig Dos Santos,Calcagni Donald Andrew,0.421,Antarctica Investors,0.389
586,28247,1076322,Zazove Convertible Securities Fund,2078.0,104751,Zazove High Yield Convertible Securities Fund,0.587,,21624,Brazos Securities,0.914,Peter Lechman,Sims Billy Floyd Jr,0.062,Pretti Gene Thomas,0.516
587,28247,1076322,Zazove Convertible Securities Fund,2078.0,104751,Zazove High Yield Convertible Securities Fund,0.587,,21624,Brazos Securities,0.914,N A Zazove Associates,Sims Billy Floyd Jr,0.2,Zazove Associates,0.895
588,28247,1076322,Zazove Convertible Securities Fund,2078.0,104751,Zazove High Yield Convertible Securities Fund,0.587,,21624,Brazos Securities,0.914,Steven Kleiman,Sims Billy Floyd Jr,0.182,Steven M Kleiman Declaration Of Trust Dtd ,0.5
589,28247,1076322,Zazove Convertible Securities Fund,2078.0,104751,Zazove High Yield Convertible Securities Fund,0.587,,21624,Brazos Securities,0.914,Andrew Goodwin Iii,Sims Billy Floyd Jr,0.216,Pretti Gene Thomas,0.333
590,28247,1076322,Zazove Convertible Securities Fund,2078.0,104751,Zazove High Yield Convertible Securities Fund,0.587,,21624,Brazos Securities,0.914,Gene Pretti,Sims Billy Floyd Jr,0.133,Pretti Gene Thomas,0.414
591,28247,1076322,Zazove Convertible Securities Fund,2078.0,104751,Zazove High Yield Convertible Securities Fund,0.587,,21624,Brazos Securities,0.914,Jack Hansen,Sims Billy Floyd Jr,0.067,Zazove Associates,0.286
592,23617,1274001,Energy ,2670.0,123711,Us Energy I,0.594,,301882,Map Energy,0.656,Raymond Brown Ii,Zubaty Aaron Philip Bear,0.4,Bono Diane Marie,0.375
593,28684,1135582,P Diversified Managers Fund,142443.0,107850,Hedge Fund Managers Diversified,0.6,,132233,Meridian Diversified Fund Management,0.673,David Alexander,,0.0,Plutzer David Seth,0.424
594,28684,1135582,P Diversified Managers Fund,142443.0,107850,Hedge Fund Managers Diversified,0.6,,132233,Meridian Diversified Fund Management,0.673,N A P Capital Advisors,,0.0,Sarsfield Luke Aloysius,0.311
595,28684,1135582,P Diversified Managers Fund,142443.0,107850,Hedge Fund Managers Diversified,0.6,,132233,Meridian Diversified Fund Management,0.673,Anthony Peyser,,0.0,Oneill Timothy Joseph,0.4
596,25052,1611277,Jubilee Gold,3180.0,143062,Jubilee,0.604,,154427,Jubilee Advisers Llp,0.852,Jean Dale Bauer,,0.0,Farrell Robert James,0.343
597,25052,1611277,Jubilee Gold,3180.0,143062,Jubilee,0.604,,154427,Jubilee Advisers Llp,0.852,Zachary Venegas,,0.0,Farrell Robert James,0.343
598,25052,1611277,Jubilee Gold,3180.0,143062,Jubilee,0.604,,154427,Jubilee Advisers Llp,0.852,Paul Hodges,,0.0,Farrell Robert James,0.387
599,25052,1611277,Jubilee Gold,3180.0,143062,Jubilee,0.604,,154427,Jubilee Advisers Llp,0.852,James Egan,,0.0,Farrell Robert James,0.333
600,25052,1611277,Jubilee Gold,3180.0,143062,Jubilee,0.604,,154427,Jubilee Advisers Llp,0.852,William Collins,,0.0,Robillard Joseph Conroy,0.421
601,25052,1611277,Jubilee Gold,3180.0,143062,Jubilee,0.604,,154427,Jubilee Advisers Llp,0.852,David Maus,,0.0,Violette Michael A,0.286
602,25052,1611277,Jubilee Gold,3180.0,143062,Jubilee,0.604,,154427,Jubilee Advisers Llp,0.852,Martin Bauer,,0.0,Farrell Robert James,0.375
603,25052,1611277,Jubilee Gold,3180.0,143062,Jubilee,0.604,,154427,Jubilee Advisers Llp,0.852,Leon Reed,,0.0,Farrell Robert James,0.345
604,30981,1409517,Ionic Capital International,6535.0,161111, Capital International,0.605,3282.0,156400,Ionic Capital Management,0.693,Scott Dakers,Stone Daniel Lazard,0.452,Point Capital Advisors,0.353
605,30981,1409517,Ionic Capital International,6535.0,161111, Capital International,0.605,3282.0,156400,Ionic Capital Management,0.693,N A Ionic Capital Management,Ionic Capital Management Holdings Lp,0.75,Point Capital Holdings Lp,0.491
606,30981,1409517,Ionic Capital International,6535.0,161111, Capital International,0.605,3282.0,156400,Ionic Capital Management,0.693,David Sargison,Stone Daniel Lazard,0.364,Point Capital Advisors,0.333
607,30981,1409517,Ionic Capital International,6535.0,161111, Capital International,0.605,3282.0,156400,Ionic Capital Management,0.693,John Richardson,Richardson John Christopher,0.476,Point Capital Advisors,0.432
608,30981,1409517,Ionic Capital International,6535.0,161111, Capital International,0.605,3282.0,156400,Ionic Capital Management,0.693,Adam Radosti,Radosti Adam Stephen,0.438,Sac Capital Advisors Lp,0.343
609,30981,1409517,Ionic Capital International,6535.0,161111, Capital International,0.605,3282.0,156400,Ionic Capital Management,0.693,Bart Baum,Baum Bart Ethan,0.5,Tortorella Vincent Nmn,0.258
610,30981,1409517,Ionic Capital International,6535.0,161111, Capital International,0.605,3282.0,156400,Ionic Capital Management,0.693,Matthew Begley,Begley Matthew Griffin,0.444,Haynes Douglas Dale,0.364
611,30981,1409517,Ionic Capital International,6535.0,161111, Capital International,0.605,3282.0,156400,Ionic Capital Management,0.693,Daniel Stone,Stone Daniel Lazard,0.452,Haynes Douglas Dale,0.387
612,30981,1409517,Ionic Capital International,6535.0,161111, Capital International,0.605,3282.0,156400,Ionic Capital Management,0.693,Arthur Vaccarino,Vaccarino Arthur,0.562,Tortorella Vincent Nmn,0.368
613,7951,1443897,Dialectic Antithesis Offshore,,292062,Dialectic Offshore,0.605,13685.0,138295,Select Offshore Advisors,0.811,Inderjit Singh,,0.0,Riley Bryant Richard,0.353
614,7951,1443897,Dialectic Antithesis Offshore,,292062,Dialectic Offshore,0.605,13685.0,138295,Select Offshore Advisors,0.811,Br Dialectic Capital Management,,0.0,B Riley Capital Management,0.842
615,7951,1443897,Dialectic Antithesis Offshore,,292062,Dialectic Offshore,0.605,13685.0,138295,Select Offshore Advisors,0.811,Scott Dakers,,0.0,Mccoy Michael Richard,0.364
616,7951,1443897,Dialectic Antithesis Offshore,,292062,Dialectic Offshore,0.605,13685.0,138295,Select Offshore Advisors,0.811,John Fichthorn,,0.0,Fichthorn John Aaron,0.529
617,36213,1626475,Peer Street Funding,11539.0,124687,Greene Street Funding,0.608,,292024,Peak Street Fund Management,0.787,Scott Gottlieb,Peak Street Management,0.278,Eason Robert Lee,0.333
618,36213,1626475,Peer Street Funding,11539.0,124687,Greene Street Funding,0.608,,292024,Peak Street Fund Management,0.787,Brewster Johnson,Kwon Aaron H,0.357,Conti Robert John,0.485
619,36213,1626475,Peer Street Funding,11539.0,124687,Greene Street Funding,0.608,,292024,Peak Street Fund Management,0.787,John Chi,Kwon Aaron H,0.3,Johnson Andrew Aurelius,0.387
620,36213,1626475,Peer Street Funding,11539.0,124687,Greene Street Funding,0.608,,292024,Peak Street Fund Management,0.787,Dan Graham,Peak Street Management,0.375,Eason Robert,0.364
621,36213,1626475,Peer Street Funding,11539.0,124687,Greene Street Funding,0.608,,292024,Peak Street Fund Management,0.787,Brett Crosby,Hinkle Ross,0.348,Tank Bradley Curtis,0.452
622,22940,1100779,Millennium Prime,2882.0,158117,Millennium Partners,0.608,2882.0,158117,Millennium Management,0.61,John Antonucci,Novogratz John Struth,0.4,Novogratz John Struth,0.4
